Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","01/01/2015","0084","N3AXAA","JFK","08:40","08:39","70","65","-1","08:35","4","0","0","0","0","0"
"AA","01/01/2015","0146","N3EJAA","MIA","00:05","23:52","185","180","-13","23:44","8","0","0","0","0","0"
"AA","01/01/2015","0186","N3FHAA","ORD","14:55","14:31","125","106","-24","14:27","4","0","0","0","0","0"
"AA","01/01/2015","0192","N3EBAA","LAX","06:10","05:41","320","291","-29","05:36","5","0","0","0","0","0"
"AA","01/01/2015","0193","N3DNAA","JFK","13:55","14:06","60","60","11","14:00","6","0","0","0","0","0"
"AA","01/01/2015","0202","N3LHAA","LAX","21:00","20:41","315","296","-19","20:35","6","0","0","0","0","0"
"AA","01/01/2015","0222","N3JSAA","LAX","15:15","14:42","320","292","-33","14:38","4","0","0","0","0","0"
"AA","01/01/2015","0288","N3DNAA","ORD","23:10","22:55","125","114","-15","22:50","5","0","0","0","0","0"
"AA","01/01/2015","1065","N3GMAA","ORD","16:15","16:13","135","120","-2","16:08","5","0","0","0","0","0"
"AA","01/01/2015","1096","N3APAA","JFK","17:00","17:35","75","71","35","17:31","4","24","0","0","0","11"
"AA","01/01/2015","1124","N3GAAA","DFW","17:00","16:57","205","200","-3","16:49","8","0","0","0","0","0"
"AA","01/01/2015","1185","N853AA","MIA","12:48","12:39","193","184","-9","12:34","5","0","0","0","0","0"
"AA","01/01/2015","1186","N5CPAA","DFW","10:45","10:40","205","206","-5","10:35","5","0","0","0","0","0"
"AA","01/01/2015","1355","N3FJAA","MIA","18:18","18:05","193","187","-13","18:02","3","0","0","0","0","0"
"AA","01/01/2015","1426","N3FAAA","ORD","21:40","21:20","125","110","-20","21:16","4","0","0","0","0","0"
"AA","01/01/2015","1448","N3HKAA","DFW","15:20","00:00","205","0","0","00:00","0","0","0","0","0","0"
"AA","01/01/2015","1533","N5BVAA","MIA","16:15","17:27","190","201","72","17:17","10","8","0","11","0","53"
"AA","01/01/2015","1544","N3HGAA","DFW","19:30","19:35","205","205","5","19:27","8","0","0","0","0","0"
"AA","01/01/2015","1550","N3AVAA","LAX","23:45","23:28","315","294","-17","23:24","4","0","0","0","0","0"
"AA","01/01/2015","1551","N3BFAA","ORD","12:55","12:55","125","116","0","12:51","4","0","0","0","0","0"
"AA","01/01/2015","1582","N5EYAA","MIA","10:13","09:58","193","182","-15","09:53","5","0","0","0","0","0"
"AA","01/01/2015","1590","N5CNAA","DFW","21:50","01:55","200","176","245","01:51","4","0","0","0","0","245"
"AA","01/01/2015","1592","N3BUAA","ORD","23:59","01:00","124","123","61","00:54","6","61","0","0","0","0"
"AA","01/01/2015","1612","N3GPAA","ORD","19:05","18:48","130","113","-17","18:43","5","0","0","0","0","0"
"AA","01/01/2015","1625","N3GNAA","MIA","23:16","23:32","191","182","16","23:27","5","16","0","0","0","0"
"AA","01/01/2015","1670","N3KEAA","ORD","17:10","16:52","130","116","-18","16:45","7","0","0","0","0","0"
"AA","01/01/2015","2221","N3DTAA","ORD","01:05","00:56","120","115","-9","00:51","5","0","0","0","0","0"
"AA","01/01/2015","2238","N3FYAA","DFW","23:40","23:36","205","177","-4","23:32","4","0","0","0","0","0"
"AA","01/01/2015","2314","N3APAA","JFK","21:30","21:44","70","75","14","21:41","3","0","0","0","0","0"
"AA","01/01/2015","2440","N634AA","MIA","21:59","22:12","194","199","13","22:04","8","0","0","0","0","0"
"AA","01/01/2015","2470","N5CAAA","DFW","12:25","12:46","205","230","21","12:42","4","0","0","21","0","0"
"AA","01/02/2015","0084","N3GMAA","JFK","08:40","08:38","70","74","-2","08:33","5","0","0","0","0","0"
"AA","01/02/2015","0146","N3FBAA","MIA","00:05","23:58","185","181","-7","23:51","7","0","0","0","0","0"
"AA","01/02/2015","0186","N3BYAA","ORD","14:55","14:38","125","108","-17","14:35","3","0","0","0","0","0"
"AA","01/02/2015","0192","N3DCAA","LAX","06:10","06:03","320","318","-7","05:53","10","0","0","0","0","0"
"AA","01/02/2015","0193","N3AJAA","JFK","13:55","13:55","60","65","0","13:45","10","0","0","0","0","0"
"AA","01/02/2015","0202","N3LMAA","LAX","21:00","20:44","315","302","-16","20:40","4","0","0","0","0","0"
"AA","01/02/2015","0222","N3HFAA","LAX","15:15","14:56","320","304","-19","14:51","5","0","0","0","0","0"
"AA","01/02/2015","0288","N3GMAA","ORD","23:10","22:56","125","110","-14","22:49","7","0","0","0","0","0"
"AA","01/02/2015","1065","N3LFAA","ORD","16:15","15:59","135","122","-16","15:53","6","0","0","0","0","0"
"AA","01/02/2015","1096","N3DYAA","JFK","17:00","18:28","75","67","88","18:23","5","19","0","0","0","69"
"AA","01/02/2015","1124","N3HLAA","DFW","17:00","17:16","205","193","16","17:11","5","0","0","0","0","16"
"AA","01/02/2015","1185","N856AA","MIA","12:48","12:54","193","183","6","12:49","5","0","0","0","0","0"
"AA","01/02/2015","1186","N5BRAA","DFW","10:45","10:27","205","188","-18","10:21","6","0","0","0","0","0"
"AA","01/02/2015","1355","N3LSAA","MIA","18:18","17:56","193","178","-22","17:50","6","0","0","0","0","0"
"AA","01/02/2015","1426","N3AXAA","ORD","21:40","21:23","125","114","-17","21:18","5","0","0","0","0","0"
"AA","01/02/2015","1448","N3LCAA","DFW","15:20","15:06","205","193","-14","15:00","6","0","0","0","0","0"
"AA","01/02/2015","1496","N3CAAA","ORD","11:10","10:52","125","111","-18","10:48","4","0","0","0","0","0"
"AA","01/02/2015","1533","N631AA","MIA","16:15","17:14","190","175","59","17:09","5","17","0","0","0","42"
"AA","01/02/2015","1544","N3HCAA","DFW","19:30","21:25","205","196","115","21:20","5","17","0","0","0","98"
"AA","01/02/2015","1551","N3LTAA","ORD","12:55","12:35","125","111","-20","12:30","5","0","0","0","0","0"
"AA","01/02/2015","1582","N5FNAA","MIA","10:13","11:20","193","191","67","11:11","9","67","0","0","0","0"
"AA","01/02/2015","1590","N630AA","DFW","21:50","21:50","200","186","0","21:44","6","0","0","0","0","0"
"AA","01/02/2015","1592","N3EEAA","ORD","23:59","23:44","124","111","-15","23:40","4","0","0","0","0","0"
"AA","01/02/2015","1612","N3HSAA","ORD","19:05","19:04","130","113","-1","18:58","6","0","0","0","0","0"
"AA","01/02/2015","1625","N3GKAA","MIA","23:16","23:26","191","187","10","23:21","5","0","0","0","0","0"
"AA","01/02/2015","1670","N3EKAA","ORD","17:10","16:49","130","114","-21","16:39","10","0","0","0","0","0"
"AA","01/02/2015","2221","N3LBAA","ORD","01:05","01:00","120","120","-5","00:51","9","0","0","0","0","0"
"AA","01/02/2015","2238","N3ALAA","DFW","23:40","00:07","205","194","27","00:01","6","13","7","0","0","7"
"AA","01/02/2015","2314","N3DYAA","JFK","21:30","22:44","70","73","74","22:40","4","8","0","3","0","63"
"AA","01/02/2015","2440","N5FNAA","MIA","21:59","22:32","194","205","33","22:27","5","22","0","11","0","0"
"AA","01/02/2015","2470","N5CPAA","DFW","12:25","12:19","205","194","-6","12:12","7","0","0","0","0","0"
"AA","01/03/2015","0084","N3GEAA","JFK","08:40","09:20","70","65","40","09:14","6","40","0","0","0","0"
"AA","01/03/2015","0146","N3JUAA","MIA","00:05","00:50","185","198","45","00:43","7","0","0","13","0","32"
"AA","01/03/2015","0186","N3ALAA","ORD","14:55","15:10","125","124","15","15:03","7","10","0","0","0","5"
"AA","01/03/2015","0192","N3HPAA","LAX","06:10","06:26","320","335","16","06:16","10","0","0","16","0","0"
"AA","01/03/2015","0193","N3EHAA","JFK","13:55","15:12","60","64","77","15:06","6","0","0","5","0","72"
"AA","01/03/2015","0202","N3LNAA","LAX","21:00","21:37","315","356","37","21:31","6","0","0","37","0","0"
"AA","01/03/2015","0222","N3LHAA","LAX","15:15","15:09","320","319","-6","15:01","8","0","0","0","0","0"
"AA","01/03/2015","0288","N3KWAA","ORD","23:10","23:43","125","143","33","23:36","7","0","0","18","0","15"
"AA","01/03/2015","1065","N3APAA","ORD","16:15","16:04","135","131","-11","15:58","6","0","0","0","0","0"
"AA","01/03/2015","1096","N3LCAA","JFK","17:00","17:22","75","83","22","17:14","8","0","0","18","0","4"
"AA","01/03/2015","1124","N3GHAA","DFW","17:00","17:00","205","193","0","16:52","8","0","0","0","0","0"
"AA","01/03/2015","1185","N857AA","MIA","12:48","00:00","193","0","0","00:00","0","0","0","0","0","0"
"AA","01/03/2015","1186","N5EGAA","DFW","10:45","10:48","205","212","3","10:41","7","0","0","0","0","0"
"AA","01/03/2015","1355","N3GGAA","MIA","18:18","18:23","193","177","5","18:13","10","0","0","0","0","0"
"AA","01/03/2015","1426","N3CKAA","ORD","21:40","22:12","125","134","32","22:07","5","23","0","9","0","0"
"AA","01/03/2015","1448","N3BHAA","DFW","15:20","15:49","205","197","29","15:44","5","0","0","0","0","29"
"AA","01/03/2015","1496","N3MAAA","ORD","11:10","11:23","125","134","13","11:18","5","0","0","0","0","0"
"AA","01/03/2015","1533","N635AA","MIA","16:15","17:16","190","181","61","17:09","7","9","0","0","0","52"
"AA","01/03/2015","1544","N3LLAA","DFW","19:30","19:39","205","208","9","19:26","13","0","0","0","0","0"
"AA","01/03/2015","1582","N5EWAA","MIA","10:13","10:44","193","178","31","10:37","7","31","0","0","0","0"
"AA","01/03/2015","1590","N5DYAA","DFW","21:50","22:16","200","198","26","22:10","6","26","0","0","0","0"
"AA","01/03/2015","1592","N3BJAA","ORD","23:59","00:06","124","114","7","24:00","6","0","0","0","0","0"
"AA","01/03/2015","1612","N3FAAA","ORD","19:05","19:30","130","140","25","19:22","8","0","0","10","0","15"
"AA","01/03/2015","1625","N3DTAA","MIA","23:16","23:49","191","188","33","23:41","8","3","0","0","0","30"
"AA","01/03/2015","1670","N3LXAA","ORD","17:10","17:56","130","129","46","17:48","8","0","0","0","0","46"
"AA","01/03/2015","2238","N3HUAA","DFW","23:40","00:47","205","194","67","00:38","9","18","0","0","0","49"
"AA","01/03/2015","2314","N3LCAA","JFK","21:30","23:38","70","68","128","23:31","7","36","0","0","0","92"
"AA","01/03/2015","2440","N5DJAA","MIA","21:59","22:35","194","184","36","22:30","5","10","0","0","0","26"
"AA","01/03/2015","2470","N5BTAA","DFW","12:25","12:23","205","203","-2","12:17","6","0","0","0","0","0"
"AA","01/04/2015","0084","N3GEAA","JFK","08:40","08:28","70","61","-12","08:23","5","0","0","0","0","0"
"AA","01/04/2015","0146","N3ESAA","MIA","00:05","01:42","185","173","97","01:35","7","97","0","0","0","0"
"AA","01/04/2015","0186","N3HJAA","ORD","15:10","16:27","125","132","77","16:22","5","10","60","7","0","0"
"AA","01/04/2015","0192","N3MCAA","LAX","06:10","06:17","320","319","7","06:09","8","0","0","0","0","0"
"AA","01/04/2015","0193","N3ELAA","JFK","13:55","14:11","60","77","16","14:05","6","0","0","16","0","0"
"AA","01/04/2015","0202","N3AAAA","LAX","21:00","21:23","315","303","23","21:18","5","0","0","0","0","23"
"AA","01/04/2015","0222","N3MCAA","LAX","15:15","15:15","320","323","0","15:11","4","0","0","0","0","0"
"AA","01/04/2015","0288","N3FAAA","ORD","23:10","23:30","125","109","20","23:26","4","0","4","0","0","16"
"AA","01/04/2015","1065","N3HAAA","ORD","16:15","16:32","135","130","17","16:24","8","0","15","0","0","2"
"AA","01/04/2015","1096","N3DJAA","JFK","17:00","18:44","75","73","104","18:37","7","30","0","0","0","74"
"AA","01/04/2015","1124","N3HMAA","DFW","17:00","16:44","205","190","-16","16:33","11","0","0","0","0","0"
"AA","01/04/2015","1185","N861AA","MIA","12:48","12:38","193","182","-10","12:31","7","0","0","0","0","0"
"AA","01/04/2015","1186","N5EAAA","DFW","10:45","10:16","205","177","-29","10:10","6","0","0","0","0","0"
"AA","01/04/2015","1355","N3CGAA","MIA","18:18","18:23","193","183","5","18:18","5","0","0","0","0","0"
"AA","01/04/2015","1426","N3DCAA","ORD","21:40","21:58","125","125","18","21:51","7","18","0","0","0","0"
"AA","01/04/2015","1448","N3HBAA","DFW","15:20","15:06","205","182","-14","15:01","5","0","0","0","0","0"
"AA","01/04/2015","1496","N3MAAA","ORD","11:10","11:13","125","113","3","11:08","5","0","0","0","0","0"
"AA","01/04/2015","1533","N7BPAA","MIA","16:15","16:36","190","214","21","15:52","44","0","0","21","0","0"
"AA","01/04/2015","1544","N3BKAA","DFW","19:30","19:55","205","190","25","19:49","6","1","0","0","0","24"
"AA","01/04/2015","1550","N3KWAA","LAX","23:45","23:33","315","301","-12","23:28","5","0","0","0","0","0"
"AA","01/04/2015","1551","N3DTAA","ORD","12:55","12:55","125","125","0","12:50","5","0","0","0","0","0"
"AA","01/04/2015","1582","N5ETAA","MIA","10:13","11:00","193","169","47","10:52","8","47","0","0","0","0"
"AA","01/04/2015","1590","N5EBAA","DFW","21:50","21:33","200","182","-17","21:28","5","0","0","0","0","0"
"AA","01/04/2015","1592","N3KRAA","ORD","23:59","00:39","124","124","40","00:34","5","0","9","0","0","31"
"AA","01/04/2015","1612","N3KBAA","ORD","19:05","19:22","130","139","17","19:08","14","0","8","9","0","0"
"AA","01/04/2015","1625","N3HHAA","MIA","23:16","23:37","191","171","21","23:31","6","1","0","0","0","20"
"AA","01/04/2015","1670","N3CTAA","ORD","17:45","18:23","130","138","38","18:14","9","0","30","8","0","0"
"AA","01/04/2015","2221","N3KYAA","ORD","01:05","02:12","120","122","67","02:07","5","0","4","2","0","61"
"AA","01/04/2015","2238","N3JAAA","DFW","23:40","00:24","205","178","44","00:19","5","12","0","0","0","32"
"AA","01/04/2015","2314","N3DJAA","JFK","21:30","23:24","70","80","114","23:19","5","4","0","10","0","100"
"AA","01/04/2015","2440","N5DXAA","MIA","21:59","21:38","194","171","-21","21:33","5","0","0","0","0","0"
"AA","01/04/2015","2470","N630AA","DFW","12:25","12:04","205","183","-21","11:54","10","0","0","0","0","0"
"AA","01/05/2015","0084","N3BFAA","JFK","08:40","08:39","70","73","-1","08:26","13","0","0","0","0","0"
"AA","01/05/2015","0146","N3CJAA","MIA","00:05","00:21","185","182","16","00:12","9","7","0","0","0","9"
"AA","01/05/2015","0186","N3CDAA","ORD","14:55","15:10","125","125","15","15:06","4","0","0","0","0","15"
"AA","01/05/2015","0192","N3DWAA","LAX","06:10","06:03","320","319","-7","05:58","5","0","0","0","0","0"
"AA","01/05/2015","0193","N3LXAA","JFK","13:55","13:48","60","57","-7","13:44","4","0","0","0","0","0"
"AA","01/05/2015","0202","N3JHAA","LAX","21:00","21:10","315","312","10","21:05","5","0","0","0","0","0"
"AA","01/05/2015","0222","N3ABAA","LAX","15:15","15:25","320","331","10","15:21","4","0","0","0","0","0"
"AA","01/05/2015","1065","N3ERAA","ORD","16:15","16:03","135","112","-12","15:57","6","0","0","0","0","0"
"AA","01/05/2015","1096","N3GBAA","JFK","17:00","16:59","75","79","-1","16:54","5","0","0","0","0","0"
"AA","01/05/2015","1124","N3JJAA","DFW","17:00","17:08","205","203","8","16:57","11","0","0","0","0","0"
"AA","01/05/2015","1185","N852AA","MIA","12:48","12:45","193","181","-3","12:39","6","0","0","0","0","0"
"AA","01/05/2015","1186","N633AA","DFW","10:45","10:25","205","183","-20","10:20","5","0","0","0","0","0"
"AA","01/05/2015","1355","N3JMAA","MIA","18:18","18:02","193","178","-16","17:58","4","0","0","0","0","0"
"AA","01/05/2015","1426","N3AMAA","ORD","21:40","01:23","125","113","223","01:16","7","166","57","0","0","0"
"AA","01/05/2015","1448","N3DRAA","DFW","15:20","15:28","205","188","8","15:24","4","0","0","0","0","0"
"AA","01/05/2015","1496","N3DGAA","ORD","11:10","11:05","125","120","-5","11:01","4","0","0","0","0","0"
"AA","01/05/2015","1533","N5CFAA","MIA","16:15","15:57","190","177","-18","15:52","5","0","0","0","0","0"
"AA","01/05/2015","1544","N3KDAA","DFW","19:30","21:37","205","212","127","21:31","6","40","0","7","0","80"
"AA","01/05/2015","1550","N3FFAA","LAX","23:45","23:48","315","311","3","23:42","6","0","0","0","0","0"
"AA","01/05/2015","1551","N3GSAA","ORD","12:55","13:54","125","114","59","13:48","6","0","0","0","0","59"
"AA","01/05/2015","1582","N5FNAA","MIA","10:13","10:04","193","187","-9","09:59","5","0","0","0","0","0"
"AA","01/05/2015","1590","N5BVAA","DFW","21:50","21:43","200","194","-7","21:33","10","0","0","0","0","0"
"AA","01/05/2015","1592","N3EVAA","ORD","23:59","01:58","124","126","119","01:54","4","46","54","2","0","17"
"AA","01/05/2015","1612","N3HTAA","ORD","19:05","19:21","130","118","16","19:15","6","6","0","0","0","10"
"AA","01/05/2015","1625","N3BEAA","MIA","23:16","23:47","191","182","31","23:40","7","6","0","0","0","25"
"AA","01/05/2015","1670","N3AUAA","ORD","17:10","17:16","130","123","6","17:11","5","0","0","0","0","0"
"AA","01/05/2015","2221","N3ELAA","ORD","01:05","04:13","120","119","188","04:08","5","0","102","0","0","86"
"AA","01/05/2015","2238","N3EXAA","DFW","23:40","23:53","205","198","13","23:48","5","0","0","0","0","0"
"AA","01/05/2015","2314","N3GBAA","JFK","21:30","21:57","70","78","27","21:48","9","9","0","8","0","10"
"AA","01/05/2015","2440","N639AA","MIA","21:59","21:41","194","178","-18","21:35","6","0","0","0","0","0"
"AA","01/05/2015","2470","N5EKAA","DFW","12:25","12:04","205","188","-21","11:58","6","0","0","0","0","0"
"AA","01/06/2015","0084","N3EGAA","JFK","08:41","08:31","71","58","-10","08:25","6","0","0","0","0","0"
"AA","01/06/2015","0146","N3GRAA","MIA","00:02","00:48","182","197","46","00:25","23","31","0","15","0","0"
"AA","01/06/2015","0186","N3AUAA","ORD","14:51","15:12","131","121","21","15:06","6","0","0","0","0","21"
"AA","01/06/2015","0193","N3LAAA","JFK","13:43","14:21","63","106","38","14:16","5","0","0","38","0","0"
"AA","01/06/2015","0222","N3LNAA","LAX","15:20","15:13","325","318","-7","15:08","5","0","0","0","0","0"
"AA","01/06/2015","0288","N3FAAA","ORD","23:14","23:29","129","111","15","23:24","5","0","10","0","0","5"
"AA","01/06/2015","1033","N3AYAA","MIA","12:44","13:02","194","185","18","12:58","4","18","0","0","0","0"
"AA","01/06/2015","1065","N598AA","ORD","16:13","16:05","133","125","-8","16:00","5","0","0","0","0","0"
"AA","01/06/2015","1096","N3JYAA","JFK","17:14","18:50","75","115","96","18:43","7","0","0","96","0","0"
"AA","01/06/2015","1124","N3CMAA","DFW","16:57","16:57","207","204","0","16:46","11","0","0","0","0","0"
"AA","01/06/2015","1355","N3GUAA","MIA","18:25","19:48","190","181","83","19:41","7","0","0","23","0","60"
"AA","01/06/2015","1426","N3LGAA","ORD","21:49","22:15","134","113","26","22:10","5","26","0","0","0","0"
"AA","01/06/2015","1496","N3BJAA","ORD","11:10","11:24","130","129","14","11:19","5","0","0","0","0","0"
"AA","01/06/2015","1533","N5EAAA","MIA","16:11","16:48","186","185","37","16:40","8","37","0","0","0","0"
"AA","01/06/2015","1544","N3AKAA","DFW","19:25","20:37","205","206","72","20:31","6","0","0","72","0","0"
"AA","01/06/2015","1550","N3LKAA","LAX","23:45","23:30","320","302","-15","23:25","5","0","0","0","0","0"
"AA","01/06/2015","1551","N3BEAA","ORD","13:24","14:15","129","120","51","14:11","4","51","0","0","0","0"
"AA","01/06/2015","1582","N3DBAA","MIA","10:16","09:56","191","172","-20","09:52","4","0","0","0","0","0"
"AA","01/06/2015","1590","N5DMAA","DFW","21:50","22:24","200","204","34","22:19","5","0","0","15","0","19"
"AA","01/06/2015","1612","N3HYAA","ORD","19:06","20:13","131","143","67","20:07","6","0","0","67","0","0"
"AA","01/06/2015","1625","N5ENAA","MIA","21:52","22:08","192","186","16","22:04","4","0","0","16","0","0"
"AA","01/06/2015","1670","N3JWAA","ORD","17:13","17:38","133","128","25","17:29","9","0","0","0","0","25"
"AA","01/06/2015","2238","N3CBAA","DFW","23:35","23:46","200","199","11","23:42","4","0","0","0","0","0"
"AA","01/06/2015","2314","N3JYAA","JFK","21:35","23:59","70","85","144","23:40","19","0","13","15","0","116"
"AA","01/06/2015","2440","N3FXAA","MIA","22:54","23:28","189","186","34","23:22","6","34","0","0","0","0"
"AA","01/06/2015","2470","N5DMAA","DFW","12:21","12:12","201","191","-9","12:07","5","0","0","0","0","0"
"AA","01/07/2015","0084","N3KPAA","JFK","08:41","09:12","71","58","31","09:05","7","31","0","0","0","0"
"AA","01/07/2015","0146","N3BPAA","MIA","00:02","23:54","182","169","-8","23:50","4","0","0","0","0","0"
"AA","01/07/2015","0186","N3LRAA","ORD","14:51","14:49","131","123","-2","14:45","4","0","0","0","0","0"
"AA","01/07/2015","0192","N3HGAA","LAX","06:13","06:15","323","323","2","06:09","6","0","0","0","0","0"
"AA","01/07/2015","0193","N3GPAA","JFK","13:43","14:41","63","93","58","14:35","6","0","0","30","0","28"
"AA","01/07/2015","0222","N3AVAA","LAX","15:20","14:58","325","308","-22","14:53","5","0","0","0","0","0"
"AA","01/07/2015","0288","N3JYAA","ORD","23:14","23:08","129","127","-6","23:04","4","0","0","0","0","0"
"AA","01/07/2015","1033","N852AA","MIA","12:44","12:31","194","181","-13","12:27","4","0","0","0","0","0"
"AA","01/07/2015","1065","N3EWAA","ORD","16:13","16:05","133","126","-8","16:00","5","0","0","0","0","0"
"AA","01/07/2015","1096","N3JNAA","JFK","17:14","17:29","75","77","15","17:22","7","13","0","2","0","0"
"AA","01/07/2015","1124","N3CKAA","DFW","16:57","17:00","207","206","3","16:55","5","0","0","0","0","0"
"AA","01/07/2015","1186","N3FMAA","DFW","10:41","10:35","201","199","-6","10:30","5","0","0","0","0","0"
"AA","01/07/2015","1355","N3LMAA","MIA","18:25","18:11","190","178","-14","18:02","9","0","0","0","0","0"
"AA","01/07/2015","1426","N3FKAA","ORD","21:49","21:45","134","130","-4","21:40","5","0","0","0","0","0"
"AA","01/07/2015","1496","N3BJAA","ORD","11:10","11:07","130","129","-3","11:03","4","0","0","0","0","0"
"AA","01/07/2015","1533","N5CDAA","MIA","16:11","15:57","186","174","-14","15:52","5","0","0","0","0","0"
"AA","01/07/2015","1544","N3AHAA","DFW","19:25","22:06","205","249","161","21:52","14","4","0","44","0","113"
"AA","01/07/2015","1550","N3KBAA","LAX","23:45","00:17","320","325","32","00:11","6","1","0","5","0","26"
"AA","01/07/2015","1551","N3AAAA","ORD","13:24","13:50","129","123","26","13:45","5","0","0","0","0","26"
"AA","01/07/2015","1582","N3LAAA","MIA","10:16","11:10","191","177","54","11:05","5","38","0","0","0","16"
"AA","01/07/2015","1590","N5EBAA","DFW","21:50","21:55","200","199","5","21:48","7","0","0","0","0","0"
"AA","01/07/2015","1612","N3LXAA","ORD","19:06","19:06","131","131","0","18:59","7","0","0","0","0","0"
"AA","01/07/2015","1625","N5CKAA","MIA","21:52","21:35","192","169","-17","21:29","6","0","0","0","0","0"
"AA","01/07/2015","1670","N3GWAA","ORD","17:13","17:11","133","132","-2","17:03","8","0","0","0","0","0"
"AA","01/07/2015","2238","N3MCAA","DFW","23:35","00:04","200","197","29","24:00","4","29","0","0","0","0"
"AA","01/07/2015","2314","N3JNAA","JFK","21:35","23:04","70","62","89","23:00","4","39","0","0","0","50"
"AA","01/07/2015","2440","N3KLAA","MIA","22:54","23:03","189","169","9","22:58","5","0","0","0","0","0"
"AA","01/07/2015","2470","N436AA","DFW","12:21","12:33","201","216","12","12:28","5","0","0","0","0","0"
"AA","01/08/2015","0084","N3CGAA","JFK","08:41","08:39","71","72","-2","08:33","6","0","0","0","0","0"
"AA","01/08/2015","0146","N3GHAA","MIA","00:02","00:11","182","194","9","00:06","5","0","0","0","0","0"
"AA","01/08/2015","0186","N3LAAA","ORD","14:51","15:50","131","117","59","15:44","6","40","19","0","0","0"
